Rank,Country,Total Cases,New Cases,Deaths,New Deaths,Recovered,Active Cases,Critical
91,Latvia,"138,004",+34,"2,540",+2,"134,916",+213,548
92,Afghanistan,"136,643",,"5,921",,"83,849",,"46,873"
93,Norway,"133,549",,796,,"88,952",,"43,801"
94,Albania,"132,608",,"2,456",,"130,053",,99
95,Estonia,"131,618",+56,"1,270",,"128,042",+106,"2,306"
96,Uzbekistan,"117,409",+491,781,+3,"112,546",+528,"4,082"
97,Namibia,"108,055",,"2,090",,"78,908",,"27,057"
98,Montenegro,"100,519",,"1,621",,"98,576",,322
99,Finland,"98,888",+383,976,,"46,000",,"51,912"
100,Ghana,"97,728",,802,,"94,612",,"2,314"
101,China,"92,119",+24,"4,636",,"86,982",+15,501
102,Mozambique,"91,886",,"1,013",,"74,211",,"16,662"
103,Uganda,"88,194",,"2,164",,"62,213",,"23,817"
104,Cyprus,"86,185",,382,,"73,452",,"12,351"
,,,,,,,,
105,El Salvador,"82,130",,"2,457",,"74,708",,"4,965"
106,Cameroon,"80,858",,"1,324",,"78,224",,"1,310"
107,Botswana,"80,153",,"1,253",,"69,931",,"8,969"
108,Maldives,"75,332",,214,,"72,569",,"2,549"
109,Zimbabwe,"73,271",,"2,274",,"48,102",,"22,895"
110,Luxembourg,"72,391",,819,,"69,897",,"1,675"
111,Cambodia,"63,615",+915,986,+33,"55,365",+876,"7,264"
112,Singapore,"62,804",+60,36,,"62,453",,315
113,Jamaica,"50,793",,"1,134",,"41,090",,"8,569"
114,Rwanda,"49,808",,598,,"34,567",,"14,643"
115,Ivory Coast,"48,903",,319,,"48,278",,306
116,Senegal,"46,863",,"1,201",,"42,547",,"3,115"
117,DRC,"44,512",,984,,"28,801",,"14,727"
118,Madagascar,"42,462",,933,,"40,845",,684
119,Angola,"40,138",,941,,"34,500",,"4,697"
120,Malawi,"39,932",,"1,264",,"34,000",,"4,668"
121,Sudan,"36,805",,"2,760",,"30,647",,"3,398"
122,Vietnam,"35,409",+909,132,,"9,553",,"25,724"
123,Trinidad and Tobago,"35,046",,952,,"28,213",,"5,881"
124,Réunion,"33,295",,256,,"30,781",,"2,258"
125,Cabo Verde,"33,053",,290,,"32,258",,505
126,Australia,"31,429",+106,912,,"29,534",,983
127,Malta,"31,394",,420,,"30,192",,782
128,French Guiana,"28,554",,163,,"9,995",,"18,396"
129,Syria,"25,801",,"1,900",,"21,893",,"2,008"
130,Gabon,"25,198",,162,,"24,941",,95
131,Guinea,"24,173",,180,,"23,416",,577
132,Suriname,"23,594",,594,,"19,584",,"3,416"
133,Mauritania,"21,902",,496,,"20,395",,"1,011"
134,Guyana,"21,055",,499,,"19,260",,"1,296"
135,Eswatini,"20,280",,696,,"18,533",,"1,051"
136,Mayotte,"19,450",,174,,"2,964",,"16,312"
137,Haiti,"19,374",,487,,"12,977",,"5,910"
138,French Polynesia,"19,042",,144,,"18,878",,20
139,Guadeloupe,"17,373",,236,,"2,250",,"14,887"
140,Papua New Guinea,"17,340",,179,,"16,975",,186
141,Seychelles,"17,005",,77,,"16,072",,856
142,Taiwan,"15,302",,747,,"12,838",,"1,717"
143,Somalia,"15,068",,781,,"7,266",,"7,021"
144,Mali,"14,486",,528,,"10,655",,"3,303"
145,Togo,"14,320",,134,,"13,721",,465
146,Andorra,"14,167",,127,,"13,796",,244
147,Tajikistan,"13,911",,107,,"13,581",,223
148,Belize,"13,587",,331,,"12,961",,295
149,Burkina Faso,"13,523",,168,,"13,333",,22
150,Martinique,"13,371",,99,,98,,"13,174"
151,Bahamas,"13,233",,254,,"11,961",,"1,018"
152,Congo,"12,790",,167,,"11,759",,864
153,Curaçao,"12,418",,126,,"12,225",,67
154,Lesotho,"12,151",+244,338,+3,"6,601",+8,"5,212"
155,Fiji,"12,032",,59,,"2,221",,"9,752"
156,Hong Kong,"11,953",,212,,"11,665",,76
157,Djibouti,"11,621",,155,,"11,454",,12
158,Aruba,"11,180",,108,,"11,029",,43
159,South Sudan,"10,911",,117,,"10,514",,280
160,Timor-Leste,"9,906",,25,,"8,980",,901
161,Equatorial Guinea,"8,815",,122,,"8,583",,110
162,Nicaragua,"8,767",,193,,"4,225",,"4,349"
163,Benin,"8,227",,105,,"8,000",,122
164,CAR,"7,142",,98,,"6,859",,185
165,Yemen,"6,961",,"1,366",,"4,147",,"1,448"
166,Iceland,"6,675",,30,,"6,611",,34
167,Gambia,"6,414",,185,,"5,928",,301
168,Eritrea,"6,327",,30,,"5,906",,391
169,Sierra Leone,"6,074",,113,,"4,007",,"1,954"
170,Channel Islands,"5,889",,86,,"4,162",,"1,641"
171,Burundi,"5,706",,8,,773,,"4,925"
172,Niger,"5,546",,194,,"5,245",,107
173,Saint Lucia,"5,430",,86,,"5,199",,145
174,Liberia,"5,215",,144,,"2,606",,"2,465"
175,San Marino,"5,094",,90,,"5,002",,2
176,Chad,"4,954",,174,,"4,777",,3
177,Gibraltar,"4,460",,94,,"4,266",,100
178,Barbados,"4,196",,48,,"4,074",,74
179,Comoros,"3,996",,146,,"3,798",,52
180,Guinea-Bissau,"3,961",,70,,"3,640",,251
181,Liechtenstein,"3,058",,59,,"2,977",,22
182,Laos,"2,976",+75,3,,"2,174",,799
183,New Zealand,"2,790",+4,26,,"2,722",+5,42
184,Sint Maarten,"2,650",,34,,"2,589",,27
185,Monaco,"2,640",,33,,"2,552",,55
186,Bermuda,"2,525",,33,,"2,481",,11
187,Turks and Caicos,"2,440",+4,18,,"2,400",,22
188,Sao Tome and Principe,"2,392",,37,,"2,327",,28
189,Saint Martin,"2,373",,38,,"1,399",,936
190,Bhutan,"2,324",,1,,"1,986",,337
191,St. Vincent Grenadines,"2,245",,12,,"2,149",,84
192,Mauritius,"1,858",,18,,"1,534",,306
193,Isle of Man,"1,739",,29,,"1,578",,132
194,Caribbean Netherlands,"1,661",,17,,"1,631",,13
195,British Virgin Islands,"1,286",,4,,312,,970
196,Antigua and Barbuda,"1,266",,42,,"1,222",,2
197,St. Barth,"1,005",,1,,462,,542
198,Faeroe Islands,891,,1,,778,,112
,,,,,,,,
199,Diamond Princess,712,,13,,699,,0
200,Cayman Islands,619,,2,,613,,4
201,Saint Kitts and Nevis,540,,3,,423,,114
202,Tanzania,509,,21,,183,,305
203,Wallis and Futuna,445,,7,,438,,0
204,Brunei,282,,3,,256,,23
205,Dominica,199,,,,194,,5
206,Grenada,161,,1,,160,,0
207,New Caledonia,129,,,,58,,71
208,Anguilla,111,,,,109,,2
209,Greenland,64,,,,51,,13
210,Falkland Islands,63,,,,63,,0
211,Macao,55,,,,53,,2
212,Vatican City,27,,,,27,,0
213,Saint Pierre Miquelon,26,,,,26,,0
214,Montserrat,21,+1,1,,19,,1
215,Solomon Islands,20,,,,20,,0
216,Western Sahara,10,,1,,8,,1
217,MS Zaandam,9,,2,,7,,0
218,Vanuatu,4,,1,,3,,0
219,Marshall Islands,4,,,,4,,0
220,Samoa,3,,,,3,,0
221,Saint Helena,2,,,,2,,0
222,Micronesia,1,,,,1,,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Total:,"188,657,729","+76,357","4,066,867","+1,524","172,472,362","+64,612","12,118,500"
